Time,T1,T2,Q1,Q2
0,20.949499999999997,20.949499999999997,100,0
1.11,20.949499999999997,20.949499999999997,100,0
2.08,20.949499999999997,20.949499999999997,100,0
3.08,20.949499999999997,20.949499999999997,100,0
4.06,20.949499999999997,20.949499999999997,100,0
5.19,21.2718,20.949499999999997,0,0
6.17,21.2718,20.949499999999997,0,0
7.18,21.2718,20.949499999999997,0,0
8.18,21.2718,20.949499999999997,0,0
9.08,21.594099999999997,20.949499999999997,0,0
10.21,21.594099999999997,20.949499999999997,0,0
